timestamp_unix,timestamp_iso,phase,step_label,elapsed_in_phase_s,event,total_W,soc_C,cpu_clock_MHz,throttled_flags,0V8_AON_V,0V8_AON_A,0V8_AON_W,0V8_SW_V,0V8_SW_A,0V8_SW_W,1V1_SYS_V,1V1_SYS_A,1V1_SYS_W,1V8_SYS_V,1V8_SYS_A,1V8_SYS_W,3V3_ADC_V,3V3_ADC_A,3V3_ADC_W,3V3_DAC_V,3V3_DAC_A,3V3_DAC_W,3V3_SYS_V,3V3_SYS_A,3V3_SYS_W,3V7_WL_SW_V,3V7_WL_SW_A,3V7_WL_SW_W,BATT_V,BATT_A,BATT_W,DDR_VDD2_V,DDR_VDD2_A,DDR_VDD2_W,DDR_VDDQ_V,DDR_VDDQ_A,DDR_VDDQ_W,EXT5V_V,EXT5V_A,EXT5V_W,HDMI_V,HDMI_A,HDMI_W,VDD_CORE_V,VDD_CORE_A,VDD_CORE_W
1778782641.645,2026-05-14T20:17:21.644,idle,,3.633,,2.2322,47.70,1700.0,0,0.7994,0.002259,0.0018,0.8015,0.300586,0.2409,1.1073,0.270333,0.2993,1.8041,0.252766,0.4560,3.3132,0.000000,0.0000,3.3150,0.000000,0.0000,3.3082,0.159077,0.5263,3.7267,0.000000,0.0000,0.0000,,,1.1081,0.041965,0.0465,0.6004,0.003431,0.0021,5.0826,,,5.0786,0.011722,0.0595,0.8722,0.687610,0.5997
1778782641.889,2026-05-14T20:17:21.888,idle,,3.877,,2.2410,48.30,1500.0,0,0.7994,0.002381,0.0019,0.8011,0.304490,0.2439,1.1029,0.246910,0.2723,1.8061,0.252766,0.4565,3.3132,0.000000,0.0000,3.3132,0.000000,0.0000,3.3555,0.163956,0.5502,3.7276,0.000000,0.0000,0.0000,,,1.1139,0.042941,0.0478,0.5989,0.001471,0.0009,5.1000,,,5.1081,0.011111,0.0568,0.8768,0.696540,0.6107
1778782642.132,2026-05-14T20:17:22.131,idle,,4.120,,2.5098,47.20,1500.0,0,0.7994,0.002320,0.0019,0.7996,0.301562,0.2411,1.1077,0.247886,0.2746,1.8002,0.253742,0.4568,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3082,0.159077,0.5263,3.7267,0.000000,0.0000,0.0000,,,1.1029,0.050748,0.0560,0.6037,0.000980,0.0006,5.0974,,,5.1108,0.011233,0.0574,0.8717,1.026950,0.8952
1778782642.375,2026-05-14T20:17:22.375,idle,,4.363,,2.6520,47.20,1500.0,0,0.7994,0.002259,0.0018,0.8018,0.378661,0.3036,1.1044,0.249838,0.2759,1.8056,0.266429,0.4811,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3054,0.161028,0.5323,3.7146,0.000976,0.0036,0.0000,,,1.1106,0.188355,0.2092,0.6048,0.014216,0.0086,5.1027,,,5.1067,0.011355,0.0580,0.8711,0.893000,0.7779
1778782642.616,2026-05-14T20:17:22.616,idle,,4.604,,2.2234,47.20,1500.0,0,0.7991,0.002137,0.0017,0.7993,0.303514,0.2426,1.1048,0.245934,0.2717,1.7998,0.251790,0.4532,3.3141,0.000000,0.0000,3.3168,0.000000,0.0000,3.3295,0.161028,0.5361,3.7267,0.000000,0.0000,0.0000,,,1.1106,0.047821,0.0531,0.6007,0.000000,0.0000,5.1014,,,5.1188,0.011233,0.0575,0.8722,0.696540,0.6075
1778782642.856,2026-05-14T20:17:22.856,idle,,4.844,,2.5816,48.30,1500.0,0,0.8003,0.002137,0.0017,0.7996,0.304490,0.2435,1.1048,0.247886,0.2739,1.8051,0.249838,0.4510,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3184,0.181523,0.6024,3.7258,0.000000,0.0000,0.0000,,,1.1136,0.040013,0.0446,0.6033,0.003431,0.0021,5.1000,,,5.0866,0.011722,0.0596,0.8717,1.035880,0.9029
1778782643.096,2026-05-14T20:17:23.095,idle,,5.084,,2.2585,46.10,1500.0,0,0.8003,0.002625,0.0021,0.7989,0.305466,0.2440,1.1073,0.258622,0.2864,1.8208,0.251790,0.4584,3.3114,0.000122,0.0004,3.3150,0.000000,0.0000,3.3072,0.167860,0.5552,3.7258,0.000000,0.0000,0.0000,,,1.1044,0.040013,0.0442,0.5989,0.002941,0.0018,5.1014,,,5.0960,0.011477,0.0585,0.8722,0.696540,0.6075
1778782643.336,2026-05-14T20:17:23.335,idle,,5.324,,2.2784,46.60,1800.0,0,0.8003,0.002259,0.0018,0.7996,0.298635,0.2388,1.1070,0.249838,0.2766,1.8061,0.254718,0.4600,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3110,0.173715,0.5752,3.7397,0.001952,0.0073,0.0000,,,1.1081,0.045869,0.0508,0.6037,0.001961,0.0012,5.0987,,,5.0987,0.011722,0.0598,0.8714,0.696540,0.6070
1778782643.576,2026-05-14T20:17:23.575,idle,,5.564,,2.2097,46.10,1600.0,0,0.8000,0.002259,0.0018,0.7996,0.301562,0.2411,1.1070,0.247886,0.2744,1.8081,0.253742,0.4588,3.3141,0.000000,0.0000,3.3141,0.000000,0.0000,3.3110,0.164932,0.5461,3.7267,0.000000,0.0000,0.0000,,,1.1084,0.041965,0.0465,0.6037,0.000980,0.0006,5.1000,,,5.1121,0.010989,0.0562,0.8722,0.669750,0.5842
1778782643.821,2026-05-14T20:17:23.820,idle,,5.809,,2.0129,46.10,1500.0,0,0.8000,0.002198,0.0018,0.8029,0.301562,0.2421,1.1040,0.246910,0.2726,1.8168,0.249838,0.4539,3.3150,0.000000,0.0000,3.3141,0.000000,0.0000,3.3082,0.162980,0.5392,3.7267,0.000000,0.0000,0.0000,,,1.1088,0.040989,0.0454,0.6011,0.003922,0.0024,5.1054,,,5.1054,0.011722,0.0598,0.7511,0.526870,0.3957
1778782644.060,2026-05-14T20:17:24.060,idle,,6.048,,2.2199,46.60,1500.0,0,0.8000,0.002381,0.0019,0.8026,0.353287,0.2835,1.1073,0.246910,0.2734,1.8095,0.265453,0.4803,3.3114,0.000061,0.0002,3.3141,0.000000,0.0000,3.3119,0.163956,0.5430,3.7267,0.000976,0.0036,0.0000,,,1.1106,0.163956,0.1821,0.6033,0.005882,0.0035,5.1148,,,5.1000,0.011477,0.0585,0.7524,0.517940,0.3897
1778782644.406,2026-05-14T20:17:24.406,idle,,6.394,,2.5359,47.20,1700.0,0,0.7997,0.002259,0.0018,0.8004,0.324985,0.2601,1.1073,0.247886,0.2745,1.8159,0.259597,0.4714,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3407,0.160052,0.5347,3.7415,0.000000,0.0000,0.0000,,,1.1051,0.132726,0.1467,0.6037,0.006863,0.0041,5.0826,,,5.1041,0.011233,0.0573,0.7516,1.044810,0.7853
